#
# The comments following the number sign "#" list the East_Asian_Width property
# value, followed by the Unicode character name or names.
#
# Code points that have the value O and the East_Asian_Width property value N or
# Na are omitted.
#
# @missing: 0000..10FFFF; O

07FD           ; N  # N   NKO DANTAYALAN
0800..082D     ; N  # N   SAMARITAN LETTER ALAF..SAMARITAN MARK NEQUDAA
0840..085B     ; N  # N   MANDAIC LETTER HALQA..MANDAIC GEMINATION MARK
0860..086A     ; N  # N   SYRIAC LETTER MALAYALAM NGA..SYRIAC LETTER MALAYALAM SSA
0870..0887     ; N  # N   ARABIC LETTER ALEF WITH ATTACHED FATHA..ARABIC BASELINE ROUND DOT
0889..088E     ; N  # N   ARABIC LETTER NOON WITH INVERTED SMALL V..ARABIC VERTICAL TAIL
0898..08E1     ; N  # N   ARABIC SMALL HIGH WORD AL-JUZ..ARABIC SMALL HIGH SIGN SAFHA
08E3..0963     ; N  # N   ARABIC TURNED DAMMA BELOW..DEVANAGARI VOWEL SIGN VOCALIC LL
0966..096F     ; N  # N   DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0971..0983     ; N  # N   DEVANAGARI SIGN HIGH SPACING DOT..BENGALI SIGN VISARGA
0985..098C     ; N  # N   BENGALI LETTER A..BENGALI LETTER VOCALIC L
098F..0990     ; N  # N   BENGALI LETTER E..BENGALI LETTER AI
0993..09A8     ; N  # N   BENGALI LETTER O..BENGALI LETTER NA
09AA..09B0     ; N  # N   BENGALI LETTER PA..BENGALI LETTER RA
09B2           ; N  # N   BENGALI LETTER LA
09B6..09B9     ; N  # N   BENGALI LETTER SHA..BENGALI LETTER HA
09BC..09C4     ; N  # N   BENGALI SIGN NUKTA..BENGALI VOWEL SIGN VOCALIC RR
09C7..09C8     ; N  # N   BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09CB..09CE     ; N  # N   BENGALI VOWEL SIGN O..BENGALI LETTER KHANDA TA
09D7           ; N  # N   BENGALI AU LENGTH MARK
09DC..09DD     ; N  # N   BENGALI LETTER RRA..BENGALI LETTER RHA
09DF..09E3     ; N  # N   BENGALI LETTER YYA..BENGALI VOWEL SIGN VOCALIC LL
09E6..09F1     ; N  # N   BENGALI DIGIT ZERO..BENGALI LETTER RA WITH LOWER DIAGONAL
09FC           ; N  # N   BENGALI LETTER VEDIC ANUSVARA
09FE           ; N  # N   BENGALI SANDHI MARK
0A01..0A03     ; N  # N   GURMUKHI SIGN ADAK BINDI..GURMUKHI SIGN VISARGA
0A05..0A0A     ; N  # N   GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10     ; N  # N   GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28     ; N  # N   GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30     ; N  # N   GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32..0A33     ; N  # N   GURMUKHI LETTER LA..GURMUKHI LETTER LLA
0A35..0A36     ; N  # N   GURMUKHI LETTER VA..GURMUKHI LETTER SHA
0A38..0A39     ; N  # N   GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3C           ; N  # N   GURMUKHI SIGN NUKTA
0A3E..0A42     ; N  # N   GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A47..0A48     ; N  # N   GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A4B..0A4D     ; N  # N   GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A51           ; N  # N   GURMUKHI SIGN UDAAT
0A59..0A5C     ; N  # N   GURMUKHI LETTER KHHA..GURMUKHI LETTER RRA
0A5E           ; N  # N   GURMUKHI LETTER FA
0A66..0A75     ; N  # N   GURMUKHI DIGIT ZERO..GURMUKHI SIGN YAKASH
0A81..0A83     ; N  # N   GUJARATI SIGN CANDRABINDU..GUJARATI SIGN VISARGA
0A85..0A8D     ; N  # N   GUJARATI LETTER A..GUJARATI VOWEL CANDRA E
0A8F..0A91     ; N  # N   GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A93..0AA8     ; N  # N   GUJARATI LETTER O..GUJARATI LETTER NA
0AAA..0AB0     ; N  # N   GUJARATI LETTER PA..GUJARATI LETTER RA
0AB2..0AB3     ; N  # N   GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB5..0AB9     ; N  # N   GUJARATI LETTER VA..GUJARATI LETTER HA
0ABC..0AC5     ; N  # N   GUJARATI SIGN NUKTA..GUJARATI VOWEL SIGN CANDRA E
0AC7..0AC9     ; N  # N   GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACD     ; N  # N   GUJARATI VOWEL SIGN O..GUJARATI SIGN VIRAMA
0AD0           ; N  # N   GUJARATI OM
0AE0..0AE3     ; N  # N   GUJARATI LETTER VOCALIC RR..GUJARATI VOWEL SIGN VOCALIC LL
0AE6..0AEF     ; N  # N   GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0AF9..0AFF     ; N  # N   GUJARATI LETTER ZHA..GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE
0B01..0B03     ; N  # N   ORIYA SIGN CANDRABINDU..ORIYA SIGN VISARGA
0B05..0B0C     ; N  # N   ORIYA LETTER A..ORIYA LETTER VOCALIC L
0B0F..0B10     ; N  # N   ORIYA LETTER E..ORIYA LETTER AI
0B13..0B28     ; N  # N   ORIYA LETTER O..ORIYA LETTER NA
0B2A..0B30     ; N  # N   ORIYA LETTER PA..ORIYA LETTER RA
0B32..0B33     ; N  # N   ORIYA LETTER LA..ORIYA LETTER LLA
0B35..0B39     ; N  # N   ORIYA LETTER VA..ORIYA LETTER HA
0B3C..0B44     ; N  # N   ORIYA SIGN NUKTA..ORIYA VOWEL SIGN VOCALIC RR
0B47..0B48     ; N  # N   ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B4B..0B4D     ; N  # N   ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B55..0B57     ; N  # N   ORIYA SIGN OVERLINE..ORIYA AU LENGTH MARK
0B5C..0B5D     ; N  # N   ORIYA LETTER RRA..ORIYA LETTER RHA
0B5F..0B63     ; N  # N   ORIYA LETTER YYA..ORIYA VOWEL SIGN VOCALIC LL
0B66..0B6F     ; N  # N   ORIYA DIGIT ZERO..ORIYA DIGIT NINE
0B71           ; N  # N   ORIYA LETTER WA
0B82..0B83     ; N  # N   TAMIL SIGN ANUSVARA..TAMIL SIGN VISARGA
0B85..0B8A     ; N  # N   TAMIL LETTER A..TAMIL LETTER UU
0B8E..0B90     ; N  # N   TAMIL LETTER E..TAMIL LETTER AI
0B92..0B95     ; N  # N   TAMIL LETTER O..TAMIL LETTER KA
0B99..0B9A     ; N  # N   TAMIL LETTER NGA..TAMIL LETTER CA
0B9C           ; N  # N   TAMIL LETTER JA
0B9E..0B9F     ; N  # N   TAMIL LETTER NYA..TAMIL LETTER TTA
0BA3..0BA4     ; N  # N   TAMIL LETTER NNA..TAMIL LETTER TA
0BA8..0BAA     ; N  # N   TAMIL LETTER NA..TAMIL LETTER PA
0BAE..0BB9     ; N  # N   TAMIL LETTER MA..TAMIL LETTER HA
0BBE..0BC2     ; N  # N   TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC6..0BC8     ; N  # N   TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BCA..0BCD     ; N  # N   TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0BD0           ; N  # N   TAMIL OM
0BD7           ; N  # N   TAMIL AU LENGTH MARK
0BE6..0BEF     ; N  # N   TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0C00..0C0C     ; N  # N   TELUGU SIGN COMBINING CANDRABINDU ABOVE..TELUGU LETTER VOCALIC L
0C0E..0C10     ; N  # N   TELUGU LETTER E..TELUGU LETTER AI
0C12..0C28     ; N  # N   TELUGU LETTER O..TELUGU LETTER NA
0C2A..0C39     ; N  # N   TELUGU LETTER PA..TELUGU LETTER HA
0C3C..0C44     ; N  # N   TELUGU SIGN NUKTA..TELUGU VOWEL SIGN VOCALIC RR
0C46..0C48     ; N  # N   TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
