#
# @missing: 0000..10FFFF; O

0B85..0B8A     ; N  # TAMIL LETTER A..TAMIL LETTER UU
0B8E..0B90     ; N  # TAMIL LETTER E..TAMIL LETTER AI
0B92..0B95     ; N  # TAMIL LETTER O..TAMIL LETTER KA
0B99..0B9A     ; N  # TAMIL LETTER NGA..TAMIL LETTER CA
0B9C           ; N  # TAMIL LETTER JA
0B9E..0B9F     ; N  # TAMIL LETTER NYA..TAMIL LETTER TTA
0BA3..0BA4     ; N  # TAMIL LETTER NNA..TAMIL LETTER TA
0BA8..0BAA     ; N  # TAMIL LETTER NA..TAMIL LETTER PA
0BAE..0BB9     ; N  # TAMIL LETTER MA..TAMIL LETTER HA
0BBE..0BC2     ; N  # TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC6..0BC8     ; N  # TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BCA..0BCD     ; N  # TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0BD0           ; N  # TAMIL OM
0BD7           ; N  # TAMIL AU LENGTH MARK
0BE6..0BEF     ; N  # TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0C00..0C0C     ; N  # TELUGU SIGN COMBINING CANDRABINDU ABOVE..TELUGU LETTER VOCALIC L
0C0E..0C10     ; N  # TELUGU LETTER E..TELUGU LETTER AI
0C12..0C28     ; N  # TELUGU LETTER O..TELUGU LETTER NA
0C2A..0C39     ; N  # TELUGU LETTER PA..TELUGU LETTER HA
0C3D..0C44     ; N  # TELUGU SIGN AVAGRAHA..TELUGU VOWEL SIGN VOCALIC RR
0C46..0C48     ; N  # TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C4A..0C4D     ; N  # TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C55..0C56     ; N  # TELUGU LENGTH MARK..TELUGU AI LENGTH MARK
0C58..0C5A     ; N  # TELUGU LETTER TSA..TELUGU LETTER RRRA
0C60..0C63     ; N  # TELUGU LETTER VOCALIC RR..TELUGU VOWEL SIGN VOCALIC LL
0C66..0C6F     ; N  # TELUGU DIGIT ZERO..TELUGU DIGIT NINE
0C80..0C83     ; N  # KANNADA SIGN SPACING CANDRABINDU..KANNADA SIGN VISARGA
0C85..0C8C     ; N  # KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8E..0C90     ; N  # KANNADA LETTER E..KANNADA LETTER AI
0C92..0CA8     ; N  # KANNADA LETTER O..KANNADA LETTER NA
0CAA..0CB3     ; N  # KANNADA LETTER PA..KANNADA LETTER LLA
0CB5..0CB9     ; N  # KANNADA LETTER VA..KANNADA LETTER HA
0CBC..0CC4     ; N  # KANNADA SIGN NUKTA..KANNADA VOWEL SIGN VOCALIC RR
0CC6..0CC8     ; N  # KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CCA..0CCD     ; N  # KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CD5..0CD6     ; N  # KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CDE           ; N  # KANNADA LETTER FA
0CE0..0CE3     ; N  # KANNADA LETTER VOCALIC RR..KANNADA VOWEL SIGN VOCALIC LL
0CE6..0CEF     ; N  # KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0CF1..0CF2     ; N  # KANNADA SIGN JIHVAMULIYA..KANNADA SIGN UPADHMANIYA
0D00..0D0C     ; N  # MALAYALAM SIGN COMBINING ANUSVARA ABOVE..MALAYALAM LETTER VOCALIC L
0D0E..0D10     ; N  # MALAYALAM LETTER E..MALAYALAM LETTER AI
0D12..0D44     ; N  # MALAYALAM LETTER O..MALAYALAM VOWEL SIGN VOCALIC RR
0D46..0D48     ; N  # MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D4A..0D4E     ; N  # MALAYALAM VOWEL SIGN O..MALAYALAM LETTER DOT REPH
0D54..0D57     ; N  # MALAYALAM LETTER CHILLU M..MALAYALAM AU LENGTH MARK
0D5F..0D63     ; N  # MALAYALAM LETTER ARCHAIC II..MALAYALAM VOWEL SIGN VOCALIC LL
0D66..0D6F     ; N  # MALAYALAM DIGIT ZERO..MALAYALAM DIGIT NINE
0D7A..0D7F     ; N  # MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER CHILLU K
0D81..0D83     ; N  # SINHALA SIGN CANDRABINDU..SINHALA SIGN VISARGAYA
0D85..0D96     ; N  # SINHALA LETTER AYANNA..SINHALA LETTER AUYANNA
0D9A..0DB1     ; N  # SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER DANTAJA NAYANNA
0DB3..0DBB     ; N  # SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBD           ; N  # SINHALA LETTER DANTAJA LAYANNA
0DC0..0DC6     ; N  # SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DCA           ; N  # SINHALA SIGN AL-LAKUNA
0DCF..0DD4     ; N  # SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6           ; N  # SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8..0DDF     ; N  # SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOWEL SIGN GAYANUKITTA
0DE6..0DEF     ; N  # SINHALA LITH DIGIT ZERO..SINHALA LITH DIGIT NINE
0DF2..0DF3     ; N  # SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHALA VOWEL SIGN DIGA GAYANUKITTA
0E01..0E3A     ; N  # THAI CHARACTER KO KAI..THAI CHARACTER PHINTHU
0E40..0E4E     ; N  # THAI CHARACTER SARA E..THAI CHARACTER YAMAKKAN
0E50..0E59     ; N  # THAI DIGIT ZERO..THAI DIGIT NINE
0E81..0E82     ; N  # LAO LETTER KO..LAO LETTER KHO SUNG
0E84           ; N  # LAO LETTER KHO TAM
0E86..0E8A     ; N  # LAO LETTER PALI GHA..LAO LETTER SO TAM
0E8C..0EA3     ; N  # LAO LETTER PALI JHA..LAO LETTER LO LING
0EA5           ; N  # LAO LETTER LO LOOT
0EA7..0EBD     ; N  # LAO LETTER WO..LAO SEMIVOWEL SIGN NYO
0EC0..0EC4     ; N  # LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC6           ; N  # LAO KO LA
0EC8..0ECD     ; N  # LAO TONE MAI EK..LAO NIGGAHITA
0ED0..0ED9     ; N  # LAO DIGIT ZERO..LAO DIGIT NINE
0EDC..0EDF     ; N  # LAO HO NO..LAO LETTER KHMU NYO
0F00           ; N  # TIBETAN SYLLABLE OM
0F18..0F19     ; N  # TIBETAN ASTROLOGICAL SIGN -KHYUD PA..TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
